token,temp/tokens_syntax_preprocessing_7a20b15.json,temp/tokens_syntax_preprocessing_80ce6ed.json
-3me,"    ""3_mina"" L0 P pers ps1 pl gen","    ""3_mina"" L0 P invalid pl gen"
-Keda,"    ""kes"" Lda P inter rel pl part","    ""kes"" Lda P inter_rel pl part"
-Kellel,"    ""kes"" Ll P inter rel pl ad","    ""kes"" Ll P inter_rel pl ad"
-Kellena,"    ""kes"" Lna P inter rel pl es","    ""kes"" Lna P inter_rel pl es"
-Kes,"    ""kes"" L0 P inter rel pl nom","    ""kes"" L0 P inter_rel pl nom"
-MA,"    ""mina"" L0 P pers ps1 sg nom","    ""mina"" L0 P ps1 sg nom"
-ME,"    ""mina"" L0 P pers ps1 pl gen","    ""mina"" L0 P ps1 pl gen"
-Ma,"    ""mina"" L0 P pers ps1 sg nom","    ""mina"" L0 P ps1 sg nom"
-Me,"    ""mina"" L0 P pers ps1 pl gen","    ""mina"" L0 P ps1 pl gen"
-Meie,"    ""mina"" L0 P pers ps1 pl gen","    ""mina"" L0 P ps1 pl gen"
-Meil,"    ""mina"" Ll P pers ps1 pl ad","    ""mina"" Ll P ps1 pl ad"
-Mida,"    ""mis"" Lda P inter rel pl part","    ""mis"" Lda P inter_rel pl part"
-Mille,"    ""mis"" L0 P inter rel pl gen","    ""mis"" L0 P inter_rel pl gen"
-Mina,"    ""mina"" L0 P pers ps1 sg nom","    ""mina"" L0 P ps1 sg nom"
-Minu,"    ""mina"" L0 P pers ps1 sg gen","    ""mina"" L0 P ps1 sg gen"
-Mis,"    ""mis"" L0 P inter rel pl nom","    ""mis"" L0 P inter_rel pl nom"
-Nad,"    ""tema"" Ld P pers ps3 pl nom","    ""tema"" Ld P ps3 pl nom"
-Neid,"    ""tema"" Ld P pers ps3 pl part","    ""tema"" Ld P ps3 pl part"
-Oma,"    ""oma"" L0 P pos det refl sg gen","    ""oma"" L0 P det refl pos sg gen"
-Sa,"    ""sina"" L0 P pers ps2 sg nom","    ""sina"" L0 P ps2 sg nom"
-Sina,"    ""sina"" L0 P pers ps2 sg nom","    ""sina"" L0 P ps2 sg nom"
-Sinus,"    ""sina"" Ls P pers ps2 sg in","    ""sina"" Ls P ps2 sg in"
-Sinust,"    ""sina"" Lst P pers ps2 sg el","    ""sina"" Lst P ps2 sg el"
-Ta,"    ""tema"" L0 P pers ps3 sg gen","    ""tema"" L0 P ps3 sg gen"
-Talle,"    ""tema"" Llle P pers ps3 sg all","    ""tema"" Llle P ps3 sg all"
-Te,"    ""sina"" L0 P pers ps2 pl gen","    ""sina"" L0 P ps2 pl gen"
-Teie,"    ""sina"" L0 P pers ps2 pl gen","    ""sina"" L0 P ps2 pl gen"
-Teist,"    ""sina"" Lst P pers ps2 pl el","    ""sina"" Lst P ps2 pl el"
-Tema,"    ""tema"" L0 P pers ps3 sg gen","    ""tema"" L0 P ps3 sg gen"
-iseenesest,"    ""ise_enese"" Lst P pos refl sg el","    ""ise_enese"" Lst P refl sg el"
-kelle,"    ""kes"" L0 P inter rel pl gen","    ""kes"" L0 P inter_rel pl gen"
-kelleks,"    ""kes"" Lks P inter rel pl tr","    ""kes"" Lks P inter_rel pl tr"
-kes,"    ""kes"" L0 P inter rel pl nom","    ""kes"" L0 P inter_rel pl nom"
-lä-he-tu-ses,"    ""lä-he-tu-see"" Ls P dem sg in","    ""lä-he-tu-see"" Ls P invalid sg in"
-m6nnamised-ja-muu,"    ""m6nnamised-ja-muu"" L0 P indef sg gen","    ""m6nnamised-ja-muu"" L0 P invalid sg gen"
-ma,"    ""mina"" L0 P pers ps1 sg nom","    ""mina"" L0 P ps1 sg nom"
-me,"    ""mina"" L0 P pers ps1 pl gen","    ""mina"" L0 P ps1 pl gen"
-meiega,"    ""mina"" Lga P pers ps1 pl kom","    ""mina"" Lga P ps1 pl kom"
-meil,"    ""mina"" Ll P pers ps1 pl ad","    ""mina"" Ll P ps1 pl ad"
-mida,"    ""mis"" Lda P inter rel pl part","    ""mis"" Lda P inter_rel pl part"
-midagi,"    ""miski"" Ldagi P indef sg part","    ""miski"" Ldagi P inter_rel sg part"
-mille,"    ""mis"" L0 P inter rel pl gen","    ""mis"" L0 P inter_rel pl gen"
-milleks,"    ""mis"" Lks P inter rel pl tr","    ""mis"" Lks P inter_rel pl tr"
-mina,"    ""mina"" L0 P pers ps1 sg nom","    ""mina"" L0 P ps1 sg nom"
-minu,"    ""mina"" L0 P pers ps1 sg gen","    ""mina"" L0 P ps1 sg gen"
-minule,"    ""mina"" Lle P pers ps1 sg all","    ""mina"" Lle P ps1 sg all"
-mis,"    ""mis"" L0 P inter rel pl nom","    ""mis"" L0 P inter_rel pl nom"
-missugused,"    ""mis_sugune"" Ld P inter rel pl nom","    ""mis_sugune"" Ld P inter_rel pl nom"
-mul,"    ""mina"" Ll P pers ps1 sg ad","    ""mina"" Ll P ps1 sg ad"
-mulle,"    ""mina"" Llle P pers ps1 sg all","    ""mina"" Llle P ps1 sg all"
-must,"    ""mina"" Lst P pers ps1 sg el","    ""mina"" Lst P ps1 sg el"
-nad,"    ""tema"" Ld P pers ps3 pl nom","    ""tema"" Ld P ps3 pl nom"
-neid,"    ""tema"" Ld P pers ps3 pl part","    ""tema"" Ld P ps3 pl part"
-neil,"    ""tema"" Ll P pers ps3 pl ad","    ""tema"" Ll P ps3 pl ad"
-neile,"    ""tema"" Lle P pers ps3 pl all","    ""tema"" Lle P ps3 pl all"
-neilt,"    ""tema"" Llt P pers ps3 pl abl","    ""tema"" Llt P ps3 pl abl"
-nemad,"    ""tema"" Ld P pers ps3 pl nom","    ""tema"" Ld P ps3 pl nom"
-nende,"    ""tema"" Lde P pers ps3 pl gen","    ""tema"" Lde P ps3 pl gen"
-oma,"    ""oma"" L0 P pos det refl sg gen","    ""oma"" L0 P det refl pos sg gen"
-sa,"    ""sina"" L0 P pers ps2 sg nom","    ""sina"" L0 P ps2 sg nom"
-susse,"    ""sina"" Lsse P pers ps2 sg ill","    ""sina"" Lsse P ps2 sg ill"
-ta,"    ""tema"" L0 P pers ps3 sg gen","    ""tema"" L0 P ps3 sg gen"
-ta-,"    ""tema"" L0 P pers ps3 sg gen","    ""tema"" L0 P ps3 sg gen"
-tal,"    ""tema"" Ll P pers ps3 sg ad","    ""tema"" Ll P ps3 sg ad"
-talle,"    ""tema"" Llle P pers ps3 sg all","    ""tema"" Llle P ps3 sg all"
-tas,"    ""tema"" Ls P pers ps3 sg in","    ""tema"" Ls P ps3 sg in"
-te,"    ""sina"" L0 P pers ps2 pl gen","    ""sina"" L0 P ps2 pl gen"
-teda,"    ""tema"" Lda P pers ps3 sg part","    ""tema"" Lda P ps3 sg part"
-teid,"    ""sina"" Ld P pers ps2 pl part","    ""sina"" Ld P ps2 pl part"
-teist,"    ""sina"" Lst P pers ps2 pl el","    ""sina"" Lst P ps2 pl el"
-tema,"    ""tema"" L0 P pers ps3 sg gen","    ""tema"" L0 P ps3 sg gen"
-temal,"    ""tema"" Ll P pers ps3 sg ad","    ""tema"" Ll P ps3 sg ad"
-temale,"    ""tema"" Lle P pers ps3 sg all","    ""tema"" Lle P ps3 sg all"
0-ise,"    ""0-ise"" L0 P pos det refl pl nom","    ""0-ise"" L0 P invalid pl nom"
000-sel,"    ""000-see"" Ll P dem sg ad","    ""000-see"" Ll P invalid sg ad"
000-ses,"    ""000-see"" Ls P dem sg in","    ""000-see"" Ls P invalid sg in"
002te,"    ""002_sina"" L0 P pers ps2 pl gen","    ""002_sina"" L0 P invalid pl gen"
00midagi,"    ""00_miski"" Ldagi P indef sg part","    ""00_miski"" Ldagi P invalid sg part"
055NAT-iga,"    ""055NAT-iga"" L0 P det sg gen","    ""055NAT-iga"" L0 P invalid sg gen"
09Ma,"    ""09_mina"" L0 P pers ps1 sg nom","    ""09_mina"" L0 P invalid sg nom"
09Mingit,"    ""09_mingi"" Lt P indef sg part","    ""09_mingi"" Lt P invalid sg part"
09See,"    ""09_see"" L0 P dem sg nom","    ""09_see"" L0 P invalid sg nom"
09meie,"    ""09_mina"" L0 P pers ps1 pl gen","    ""09_mina"" L0 P invalid pl gen"
0Sellest,"    ""0_see"" Lst P dem sg el","    ""0_see"" Lst P invalid sg el"
0kes,"    ""0_kes"" L0 P inter rel pl nom","    ""0_kes"" L0 P invalid pl nom"
0ma,"    ""0_mina"" L0 P pers ps1 sg nom","    ""0_mina"" L0 P invalid sg nom"
0mitmes,"    ""0_mitmes"" L0 P inter rel indef sg nom","    ""0_mitmes"" L0 P invalid sg nom"
0oma,"    ""0_oma"" L0 P pos det refl sg gen","    ""0_oma"" L0 P invalid sg gen"
0sa,"    ""0_sina"" L0 P pers ps2 sg nom","    ""0_sina"" L0 P invalid sg nom"
1-mitu,"    ""1-mitu"" L0 P indef sg nom","    ""1-mitu"" L0 P invalid sg nom"
1-sel,"    ""1-see"" Ll P dem sg ad","    ""1-see"" Ll P invalid sg ad"
1-selt,"    ""1-see"" Llt P dem sg abl","    ""1-see"" Llt P invalid sg abl"
1-sest,"    ""1-see"" Lst P dem sg el","    ""1-see"" Lst P invalid sg el"
1-sul,"    ""1-sina"" Ll P pers ps2 sg ad","    ""1-sina"" Ll P invalid sg ad"
1.-ma,"    ""1.-mina"" L0 P pers ps1 sg nom","    ""1.-mina"" L0 P invalid sg nom"
1.0-ise,"    ""1.0-ise"" L0 P pos det refl pl nom","    ""1.0-ise"" L0 P invalid pl nom"
1.1-sel,"    ""1.1-see"" Ll P dem sg ad","    ""1.1-see"" Ll P invalid sg ad"
1.4-sel,"    ""1.4-see"" Ll P dem sg ad","    ""1.4-see"" Ll P invalid sg ad"
1.6-sel,"    ""1.6-see"" Ll P dem sg ad","    ""1.6-see"" Ll P invalid sg ad"
10-enda,"    ""10-ise"" L0 P pos det refl sg gen","    ""10-ise"" L0 P invalid sg gen"
10-endas,"    ""10-ise"" Ls P pos det refl sg in","    ""10-ise"" Ls P invalid sg in"
10-neid,"    ""10-see"" Ld P dem pl part","    ""10-see"" Ld P invalid pl part"
10-selt,"    ""10-see"" Llt P dem sg abl","    ""10-see"" Llt P invalid sg abl"
10-sest,"    ""10-see"" Lst P dem sg el","    ""10-see"" Lst P invalid sg el"
100DPS-iga,"    ""100DPS-iga"" L0 P det sg gen","    ""100DPS-iga"" L0 P invalid sg gen"
