original, vabamorf
aju-ti-selt, a-ju-ti-selt
eda-si-sel, e-da-si-sel
esi-me-sel, e-si-me-sel
ini-me-sel, i-ni-me-sel
isee-ne-sest, i-see-ne-sest
ko-da-kond-sus-, ko-da-kond-sus
lu-me-, lu-me
m-m-m-me, mmmme
mina-mia-mina, mi-na-mi-a-mi-na
mina-mina-mina, mi-na-mi-na-mi-na
osa-li-selt, o-sa-li-selt
s-s-see, sssee
tõen-äo-li-selt, tõe-näo-li-selt
uni-ver-si-tas, u-ni-ver-si-tas
va-na-e-ma, va-nae-ma
vi-i-i-tas, viii-tas
viha-koba-mis, vi-ha-ko-ba-mis
vil-niu-ses, vil-ni-u-ses
abi-kaa-sa, a-bi-kaa-sa
abi-mil-jo-neid, a-bi-mil-jo-neid
ah-mis-nüüd-mina, ah-mis-nüüd-mi-na
aita-end-ise, ai-taen-di-se
aja-loo-li-selt, a-ja-loo-li-selt
aja-mi-sel, a-ja-mi-sel
aja-pom-me, a-ja-pom-me
aju-ti-selt, a-ju-ti-selt
aka-dee-mi-li-ses, a-ka-dee-mi-li-ses
ala-li-selt, a-la-li-selt
ala-ti-seks, a-la-ti-seks
alus-ta-ma, a-lus-ta-ma
ame-tia-su-tu-ses, a-me-ti-a-su-tu-ses
amet-li-kes, a-met-li-kes
aren-da-mi-seks, a-ren-da-mi-seks
aren-da-mi-sel, a-ren-da-mi-sel
aren-gu-suu-nad, a-ren-gu-suu-nad
aru-saa-mi-seks, a-ru-saa-mi-seks
aru-saa-mu, a-ru-saa-mu
aru-tu-sel, a-ru-tu-sel
asu-mi-sel, a-su-mi-sel
ava-li-kus-tas, a-va-li-kus-tas
ava-meel-selt, a-va-meel-selt
ava-ne-mi-sest, a-va-ne-mi-sest
ava-ra-ma, a-va-ra-ma
aval-dami-seks, a-val-da-mi-seks
ebap-ro-port-sio-naal-selt, e-bap-ro-port-sio-naal-selt
ede-vu-sest, e-de-vu-sest
eden-da-mi-seks, e-den-da-mi-seks
eden-da-mi-sel, e-den-da-mi-sel
efek-tiiv-se-ma, e-fek-tiiv-se-ma
efek-tiiv-sel, e-fek-tiiv-sel
efek-tiiv-selt, e-fek-tiiv-selt
efek-tiiv-sust, e-fek-tiiv-sust
ehi-tu-seks, e-hi-tu-seks
ehi-tu-selt, e-hi-tu-selt
ehi-tus-fir-ma, e-hi-tus-fir-ma
ei-tea-keda, ei-tea-ke-da
ei-tea-kui-mitu, ei-tea-kui-mi-tu
ei-tea-küll-mida, ei-tea-küll-mi-da
ei-tea-mida, ei-tea-mi-da
ei-tea-mitu, ei-tea-mi-tu
eks-por-diar-tik-kel, eks-por-di-ar-tik-kel
ela-mi-seks, e-la-mi-seks
ela-mis-, e-la-mis
ela-mis-loa-ta, e-la-mis-loa-ta
ela-ni-kel, e-la-ni-kel
ela-tus-ta-se-me, e-la-tus-ta-se-me
eli-taar-su-sest, e-li-taar-su-sest
elu-ko-ge-must, e-lu-ko-ge-must
elu-te-ge-vu-seks, e-lu-te-ge-vu-seks
emot-sio-naal-selt, e-mot-sio-naal-selt
end-to-end, end-toend
ener-gia-mak-su, e-ner-gi-a-mak-su
era-kord-selt, e-ra-kord-selt
eri-li-seks, e-ri-li-seks
eri-li-selt, e-ri-li-selt
eria-la-kir-jan-du-ses, e-ri-a-la-kir-jan-du-ses
esi-me-sel, e-si-me-sel
esi-ne-ma, e-si-ne-ma
esi-ta-ma, e-si-ta-ma
esi-ta-mi-sel, e-si-ta-mi-sel
euro-opla-seks, eu-roop-la-seks
get-what-you-see, getw-ha-tyou-see
h-ttga-iga, httgai-ga
h22-ja-oma, h22jao-ma
hõbe-ta-se-me, hõ-be-ta-se-me
ikka-olen-rõõ-mus, ik-kao-len-rõõ-mus
im-pee-riu-mis, im-pee-ri-u-mis
in-va-liid-sus-, in-va-liid-sus
ini-me-selt, i-ni-me-selt
ins-del-pgup-pgdw-home-end, ins-delp-guppgdw-ho-meend
ise-loo-mu, i-se-loo-mu
ise-loo-mus, i-se-loo-mus
ise-loo-mus-ta-ma, i-se-loo-mus-ta-ma
ise-loo-mus-tas, i-se-loo-mus-tas
isee-ne-sest, i-see-ne-sest
jäät-mek-äit-lu-ses, jäät-me-käit-lu-ses
k-k-kõik, kkkõik
karu-teab-mis, ka-ru-teab-mis
kee-leos-ku-sest, kee-le-os-ku-sest
ker-gek-äe-li-selt, ker-ge-käe-li-selt
kes-keda-, kes-ke-da
kes-on-kes, ke-son-kes
kes-teab-mida, kes-teab-mi-da
