token,token_is_pronoun,token.normal,token.normal_is_pronoun
-END-,False,END,True
-Muuga,False,Muuga,True
-lä-he-tu-ses,True,lähetuses,False
-sulgi,False,sulgi,True
-tagi,False,tagi,True
Aastaküm-neid,True,Aastakümneid,False
Aju-ti-selt,True,Ajutiselt,False
Al-gu-ses,True,Alguses,False
Al-ma,True,Alma,False
Angele-ses,True,Angeleses,False
Avatar-me,True,Avatarme,False
Brüs-sel,True,Brüssel,False
E-mu,True,Emu,False
Eda-si-sel,True,Edasisel,False
Eel-mi-sel,True,Eelmisel,False
Ees-ti-su-gu-ses,True,Eestisuguses,False
Ehitusfir-ma,True,Ehitusfirma,False
Eil-sest,True,Eilsest,False
En-dal,False,Endal,True
End-i,False,Endi,True
End-is,False,Endis,True
Esi-me-ne,False,Esimene,True
Esi-me-se,False,Esimese,True
Esi-me-sed,False,Esimesed,True
Esi-me-si,False,Esimesi,True
Esi-mene,False,Esimene,True
Esi-mes-tel,False,Esimestel,True
Esi-mese,False,Esimese,True
Esi-mesed,False,Esimesed,True
Esi-mesel,False,Esimesel,True
Esime-ne,False,Esimene,True
Esime-sed,False,Esimesed,True
Esime-sena,False,Esimesena,True
Esimes-se,False,Esimesse,True
Et-te-val-mis-ta-mi-sel,True,Ettevalmistamisel,False
Ettevõt-teid,True,Ettevõtteid,False
Fir-ma,True,Firma,False
Füüsi-li-sest,True,Füüsilisest,False
Gaudea-must,True,Gaudeamust,False
Hai-ge-kas-sa,True,Haigekassa,False
Het-kel,True,Hetkel,False
Hin-nad,True,Hinnad,False
Hingetõm-me,True,Hingetõmme,False
Hir-mu,True,Hirmu,False
Hom-me,True,Homme,False
Hom-seks,True,Homseks,False
I-ga,False,Iga,True
I-s-e,False,Ise,True
I-se,False,Ise,True
Il-le-gaal-selt,True,Illegaalselt,False
Il-ma,True,Ilma,False
In-ter-nat-sio-naal-su-sel,True,Internatsionaalsusel,False
In-ves-tee-ri-mi-seks,True,Investeerimiseks,False
Ini-me-sel,True,Inimesel,False
Joonisfil-mis,True,Joonisfilmis,False
Järg-mi-seks,True,Järgmiseks,False
Järg-mi-sel,True,Järgmisel,False
Järgmi-seks,True,Järgmiseks,False
Järgmi-sel,True,Järgmisel,False
Jäät-meid,True,Jäätmeid,False
KEL-LELGI,False,KELLELGI,True
Ka-ris-tu-seks,True,Karistuseks,False
Ke-da,False,Keda,True
Kee-gi,False,Keegi,True
Kel-lelgi,False,Kellelgi,True
Kellaosu-teid,True,Kellaosuteid,False
Kesk-i,False,Keski,True
Kesk-mi-selt,True,Keskmiselt,False
Kli-endid,True,Kliendid,False
Ko-da-kond-sus-,True,Kodakondsus,False
Ko-ge-mus,True,Kogemus,False
Konk-reet-selt,True,Konkreetselt,False
Kre-ma-too-ri-u-mis,True,Krematooriumis,False
Kruu-sa,True,Kruusa,False
Kultuurikesku-ses,True,Kultuurikeskuses,False
Kumb-ki,False,Kumbki,True
Kõi-ge,False,Kõige,True
Kõi-geks,False,Kõigeks,True
Kõi-gel,False,Kõigel,True
Kõi-ges,False,Kõiges,True
Kõi-gest,False,Kõigest,True
Kõi-gi,False,Kõigi,True
Kõi-gile,False,Kõigile,True
Kõiki-de,False,Kõikide,True
Kõõ-ma,True,Kõõma,False
Küm-me,True,Kümme,False
Küpro-sel,True,Küprosel,False
Küpro-selt,True,Küproselt,False
Le-gaal-selt,True,Legaalselt,False
Li-ma,True,Lima,False
Linnavalitsu-ses,True,Linnavalitsuses,False
Lu-me-,True,Lume,False
Lut-su,True,Lutsu,False
Lutsuviskami-ses,True,Lutsuviskamises,False
Luurerüh-ma,True,Luurerühma,False
Lää-ne-me-re-tao-li-ses,True,Läänemeretaolises,False
Lõh-mus,True,Lõhmus,False
Lõh-nad,True,Lõhnad,False
M-I-D-A-G-I,False,MIDAGI,True
M-I-N-U,False,MINU,True
M-I-T-M-E-S-U-G-U-S-T,False,MITMESUGUST,True
M-e,False,Me,True
M-i-l-l-e,False,Mille,True
M-il,False,Mil,True
M-ilt,False,Milt,True
M-ina,False,Mina,True
M-is,False,Mis,True
MI-DA-GI,False,MIDAGI,True
Maail-ma,True,Maailma,False
Mahat-ma,True,Mahatma,False
Maksimaal-selt,True,Maksimaalselt,False
Mal-tal,True,Maltal,False
Mal-talt,True,Maltalt,False
Mal-tas,True,Maltas,False
Mal-tast,True,Maltast,False
Mam-ma,True,Mamma,False
Masi-nad,True,Masinad,False
Meie-ga,False,Meiega,True
Mi-da,False,Mida,True
Mi-da-gi,False,Midagi,True
Mi-dagi,False,Midagi,True
Mi-na,False,Mina,True
Mi-nu,False,Minu,True
Mi-nu-le,False,Minule,True
Mi-tu,False,Mitu,True
Mil-leks,False,Milleks,True
Mil-line,False,Milline,True
Mil-lised,False,Millised,True
Min-geid,False,Mingeid,True
Min-gi,False,Mingi,True
Ming-i,False,Mingi,True
Mit-med,False,Mitmed,True
Mit-mel,False,Mitmel,True
Mo-biil-su-seks,True,Mobiilsuseks,False
Mul-le,False,Mulle,True
Mulgi-,False,Mulgi,True
Muu-del,False,Muudel,True
Muuga-,False,Muuga,True
Mälestu-sest,True,Mälestusest,False
Mõ-lema,False,Mõlema,True
Mõ-lemad,False,Mõlemad,True
Mõ-lemal,False,Mõlemal,True
Mõ-lemas,False,Mõlemas,True
Mõ-lemast,False,Mõlemast,True
Mõ-lemat,False,Mõlemat,True
Mõ-ne,False,Mõne,True
Mõ-ned,False,Mõned,True
Mõ-nede,False,Mõnede,True
Mõ-nel,False,Mõnel,True
Mõ-nes,False,Mõnes,True
Mõ-ni,False,Mõni,True
Mõ-ningatel,False,Mõningatel,True
Mõi-sa,True,Mõisa,False
Mõle-mad,False,Mõlemad,True
Mõle-mas,False,Mõlemas,True
Mõn-da,False,Mõnda,True
NAF-TA,True,NAFTA,False
Ne-mad,False,Nemad,True
Nee-me,True,Neeme,False
Nei-le,False,Neile,True
Nen-de,False,Nende,True
Nen-de-le,False,Nendele,True
Nen-dega,False,Nendega,True
Nen-deks,False,Nendeks,True
Nen-des,False,Nendes,True
Nen-dest,False,Nendest,True
Nii-su-gus-te,False,Niisuguste,True
Niisu-gune,False,Niisugune,True
Niisu-guseid,False,Niisuguseid,True
Niisu-gusel,False,Niisugusel,True
Nooru-ses,True,Nooruses,False
NÕ-ME,True,NÕME,False
Näili-selt,True,Näiliselt,False
Nõm-me,True,Nõmme,False
O-le-me,True,Oleme,False
OM-I,False,OMI,True
Odavis-kes,True,Odaviskes,False
Odavlennufir-ma,True,Odavlennufirma,False
Om-i,False,Omi,True
Orgmet-sa,True,Orgmetsa,False
Osa-li-selt,True,Osaliselt,False
Ot-sus,True,Otsus,False
Pal-ju,False,Palju,True
Pal-ju-de,False,Paljude,True
Pal-ju-de-le,False,Paljudele,True
Pal-ju-del,False,Paljudel,True
Pal-jud,False,Paljud,True
Palju-de,False,Paljude,True
Pea-mi-selt,True,Peamiselt,False
Pea-mi-sest,True,Peamisest,False
Peat-selt,True,Peatselt,False
Pi-kaa-ja-li-se-ma,True,Pikaajalisema,False
Poolkait-ses,True,Poolkaitses,False
Prae-gu-seks,True,Praeguseks,False
Prob-lee-me,True,Probleeme,False
Prog-ram-mis,True,Programmis,False
Päi-ke-sel,True,Päikesel,False
Pää-sust,True,Pääsust,False
Põhili-selt,True,Põhiliselt,False
Rannamõi-sa,True,Rannamõisa,False
Ras-mus,True,Rasmus,False
Ro-he-li-sest,True,Rohelisest,False
Ru-ma-lu-sest,True,Rumalusest,False
Rää-gi-me,True,Räägime,False
Rääkisi-me,True,Rääkisime,False
Rõõ-mus,True,Rõõmus,False
Sa-ma-su-gu-ne,False,Samasugune,True
Sa-mad,False,Samad,True
Sa-mal,False,Samal,True
Sa-mas,False,Samas,True
Sak-sa,True,Saksa,False
Salaa-mis,True,Salaamis,False
Sar-na-selt,True,Sarnaselt,False
Se-da,False,Seda,True
Seesu-gune,False,Seesugune,True
Sei-sul,True,Seisul,False
Seksuaalpervers-sus,True,Seksuaalperverssus,False
Sel-le,False,Selle,True
Sel-le-ga,False,Sellega,True
Sel-le-le,False,Sellele,True
Sel-lega,False,Sellega,True
Sel-leks,False,Selleks,True
Sel-lel,False,Sellel,True
Sel-les,False,Selles,True
Sel-li-ne,False,Selline,True
Sel-li-se,False,Sellise,True
